# Generated by tools/gen_model_lights.py; one row per light, model path stem lowercase.
model,family,r,g,b,intensity,attenStart,attenEnd,x,y,z
world\azeroth\burningsteppes\passivedoodads\bonfire\orcbonfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.291,0.029,2.746
world\azeroth\burningsteppes\passivedoodads\bonfire\orcbonfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.008,-0.001,0.972
world\azeroth\burningsteppes\passivedoodads\bonfire\orcbonfire_blue,campfire,0.400,0.600,1.000,1.20,3.00,10.00,0.008,-0.001,0.972
world\azeroth\burningsteppes\passivedoodads\orcburialpyres\orcstoneburialpyre,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.043,0.016,0.765
world\azeroth\burningsteppes\passivedoodads\orcburialpyres\orcstoneburialpyrebody,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.023,-0.192,0.858
world\azeroth\elwynn\passivedoodads\lamppost\lamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.091,0.960,2.840
world\azeroth\karazahn\passivedoodads\burningbooks\booksonfire,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.071,-0.249,0.806
world\azeroth\karazahn\passivedoodads\chandeliers\karazanchandelier_01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.238,0.048,11.767
world\azeroth\karazahn\passivedoodads\chandeliers\karazanchandelier_02,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.019,0.755,2.271
world\azeroth\karazahn\passivedoodads\chandeliers\karazanchandelier_03,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.250,1.341,3.726
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.050,1.774,1.844
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce02,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.050,1.332,2.245
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce03,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.166,1.238,2.161
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce04,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.331,1.290,2.187
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce05,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.081,0.859,1.445
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce06,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.096,0.962,0.850
world\azeroth\karazahn\passivedoodads\sconces\karazahnsconce07,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.134,1.146,1.448
world\azeroth\stranglethorn\passivedoodads\diamondminewalllantern\diamondminewalllantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.071,-0.008,0.774
world\azeroth\westfall\passivedoodads\lampdeadmines\lampdeadmines,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.030,0.011,2.421
world\azeroth\westfall\passivedoodads\lamppost\westfalllamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.015,0.008,3.381
world\azeroth\westfall\passivedoodads\lamppost\westfalllamppost01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.002,-0.006,3.304
world\azeroth\westfall\passivedoodads\lamppost\westfalllamppost02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.019,-0.000,3.309
world\dungeon\goldmine\passivedoodads\cavelanterns\caveminelantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.024,-0.030,0.766
world\dungeon\goldmine\passivedoodads\cavelanterns\caveminelantern02,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.020,-0.165,0.350
world\dungeon\goldmine\passivedoodads\cavelanterns\caveminelantern03,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.024,-0.025,0.736
world\dungeon\goldshireinn\innchandelier\innchandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.503,0.975,-1.775
world\dungeon\goldshireinn\innchandelier\innchandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.535,-0.957,-1.775
world\dungeon\goldshireinn\innchandelier\innchandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,1.148,-0.016,-1.775
world\dungeon\goldshireinn\innlantern\innlantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.004,0.007,-0.697
world\dungeon\sunwell\sunwell_lamps,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-49.016,-52.410,7.078
world\environment\doodad\generaldoodads\nightelflanternblue\ne_lanternblue01,lantern,0.400,0.600,1.000,0.80,2.00,7.00,-0.020,0.017,-1.338
world\expansion01\doodads\arakkoa\passivedoodads\arakkoa_hut_glow\arakkoahouse_interiorglow,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.027,-0.204,40.311
world\expansion01\doodads\arakkoa\passivedoodads\arakkoa_hut_glow\arakkoahut_interiorglow,walllight,1.000,0.850,0.600,0.80,2.00,8.00,-0.719,-0.141,3.302
world\expansion01\doodads\arakkoa\passivedoodads\arakkoa_hut_glow\arakkoashack_insideglow,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.524,0.544,12.721
world\expansion01\doodads\blacktemple\passivedoodads\brazier\bt_brazier,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.000,0.000,3.004
world\expansion01\doodads\coilfang\passivedoodads\lights\coilfang_floor_light,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.019,0.006,0.725
world\expansion01\doodads\coilfang\passivedoodads\lights\coilfang_wall_light,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.019,-0.051,-0.027
world\expansion01\doodads\eversong\lamppost\be_lamppost_eversong01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.773,-0.142,1.999
world\expansion01\doodads\eversong\lamppost\be_lamppost_eversong01-optimized,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.778,-0.095,2.032
world\expansion01\doodads\generic\ancientorc\lampost\ao_lamppost01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.408,-0.047,2.265
world\expansion01\doodads\generic\ancientorc\lampost\ao_lamppost02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.003,-0.015,0.426
world\expansion01\doodads\generic\ancientorc\pyres\ao_pyre01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.146,-0.055,3.673
world\expansion01\doodads\generic\ancientorc\pyres\ao_pyre02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.249,0.109,3.658
world\expansion01\doodads\generic\arakkoa\torch\ak_torch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.015,-0.013,3.070
world\expansion01\doodads\generic\bloodelf\candles\be_candle_01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.012,-0.001,0.712
world\expansion01\doodads\generic\bloodelf\candles\be_candle_02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.010,0.015,0.625
world\expansion01\doodads\generic\bloodelf\candles\be_candleabra01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.161,-0.548,4.925
world\expansion01\doodads\generic\bloodelf\candles\be_candleabra01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.008,0.319,5.471
world\expansion01\doodads\generic\bloodelf\candles\be_candleabra01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.053,0.123,4.035
world\expansion01\doodads\generic\bloodelf\chandelier\be_chandelier01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.018,0.047,0.602
world\expansion01\doodads\generic\bloodelf\forge\be_forge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.459,0.006,3.435
world\expansion01\doodads\generic\bloodelf\forge\be_forge01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,3.161,-0.212,3.996
world\expansion01\doodads\generic\bloodelf\lamp\be_lamp01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.011,-0.006,5.777
world\expansion01\doodads\generic\bloodelf\lantern\be_lantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.015,-0.045,0.265
world\expansion01\doodads\generic\bloodelf\sconce\be_sconce01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.128,-0.004,0.714
world\expansion01\doodads\generic\bloodelf\sconce\be_sconce02,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.037,-0.006,0.632
world\expansion01\doodads\generic\burninglegion\braziers\bu_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.008,-0.013,1.177
world\expansion01\doodads\generic\burninglegion\crystalforge\bu_crystalforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.047,-0.835,1.080
world\expansion01\doodads\generic\burninglegion\crystalforge\bu_crystalforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.098,0.789,1.080
world\expansion01\doodads\generic\burninglegion\crystalforge\bu_crystalforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,2.292,-0.010,1.090
world\expansion01\doodads\generic\burninglegion\crystalforge\bu_crystalforgecontroller,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.514,-0.002,2.386
world\expansion01\doodads\generic\burninglegion\tradeskill\bu_forge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,2.161,0.074,0.686
world\expansion01\doodads\generic\draenei\blacksmith\dr_forge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.009,0.031,1.011
world\expansion01\doodads\generic\draenei\brazier\dr_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.002,-0.001,1.423
world\expansion01\doodads\generic\draenei\brazier\dr_brazier_02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.002,-0.001,1.364
world\expansion01\doodads\generic\draenei\brazier\dr_brazier_03,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.220,-0.001,1.106
world\expansion01\doodads\generic\draenei\chandelier\dr_chandelier_01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.038,0.011,0.029
world\expansion01\doodads\generic\draenei\lampposts\dr_lamppost_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.099,0.104,3.472
world\expansion01\doodads\generic\draenei\lampposts\dr_lamppost_02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.002,0.425,3.356
world\expansion01\doodads\generic\draenei\lanterns\dr_lantern_01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.003,-0.004,0.773
world\expansion01\doodads\generic\ethereal\crystalforge\et_crystalforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.006,0.013,0.840
world\expansion01\doodads\generic\ethereal\crystalforge\et_crystalforgecontroller,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.720,0.002,1.514
world\expansion01\doodads\generic\ethereal\lamppost\et_lamppost01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.002,-0.004,2.183
world\expansion01\doodads\generic\naga\torch\na_torch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.002,-0.035,2.754
world\expansion01\doodads\generic\ogre\fires\om_campfire_01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.003,0.048,0.884
world\expansion01\doodads\generic\ogre\fires\om_torch_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.007,0.568,1.189
world\expansion01\doodads\generic\ogre\forge\om_forge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.020,1.489,1.729
world\expansion01\doodads\generic\ogre\forge\om_forge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.463,0.748,0.423
world\expansion01\doodads\generic\shadowcouncil\torch\shadowcouncil_torch,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.002,0.001,2.687
world\expansion01\doodads\ghostlands\lampposts\be_lamppost_ghostlands01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.778,-0.095,2.032
world\expansion01\doodads\ghostlands\lampposts\be_lamppost_ghostlands02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.778,-0.095,2.032
world\expansion01\doodads\hellfirecitadel\demonwing\passivedoodads\dw_braizer\hellfire_dw_floorbraizer,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.028,0.156,-4.589
world\expansion01\doodads\hellfirecitadel\demonwing\passivedoodads\dw_braizer\hellfire_dw_hangingbraizer,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.028,0.156,-4.596
world\expansion01\doodads\hellfirecitadel\demonwing\passivedoodads\lantern\hf_demonwing_lantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.026,0.735,0.858
world\expansion01\doodads\hellfirecitadel\passivedoodads\braizers\hellfire_floorbraizer,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.028,0.156,-4.589
world\expansion01\doodads\hellfirecitadel\passivedoodads\braizers\hellfire_floorbraizer_purple,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.028,0.156,-4.639
world\expansion01\doodads\hellfirecitadel\passivedoodads\braizers\hellfire_hangingbraizer,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.028,0.156,-4.596
world\expansion01\doodads\hellfirecitadel\passivedoodads\braizers\hellfire_hangingbraizer_purpleflame,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.028,0.156,-4.623
world\expansion01\doodads\hellfirecitadel\passivedoodads\braizers\hellfire_standingbraizer_purple,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.028,0.156,-4.639
world\expansion01\doodads\hellfirecitadel\passivedoodads\torches\hellfire_gastorch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.001,-1.323,1.547
world\expansion01\doodads\hellfirepeninsula\curb\hellfirecurb_fire_01,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.049,-0.046,8.928
world\expansion01\doodads\hellfirepeninsula\curb\hellfirecurb_fire_02,fire,1.000,0.500,0.180,1.00,2.00,8.00,-0.295,0.176,9.417
world\expansion01\doodads\hellfirepeninsula\lamppost\ancient_drainei_lamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.430,0.038,3.573
world\expansion01\doodads\shadowmoon\base\ol_lochlamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.049,0.001,1.779
world\expansion01\doodads\shadowmoon\brazier\shadowmoonblacktemplebrazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.000,0.029,-0.285
world\expansion01\doodads\shattrath\passivedoodads\lighting\ancient_d_braizer,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.103,0.148,-4.380
world\expansion01\doodads\shattrath\passivedoodads\lighting\ancient_d_braizer_blue,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.088,0.118,-4.632
world\expansion01\doodads\shattrath\passivedoodads\lighting\ancient_d_braizer_blue_lowbatch,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.152,0.124,-4.524
world\expansion01\doodads\shattrath\passivedoodads\lighting\ancient_d_braizer_red,brazier,1.000,0.300,0.200,1.20,3.00,10.00,0.088,0.118,-4.632
world\expansion01\doodads\shattrath\passivedoodads\lighting\ancient_d_sconce,torch,1.000,0.550,0.220,1.00,2.00,8.00,1.340,-0.006,1.036
world\expansion01\doodads\shattrath\passivedoodads\lighting\ancient_d_standing_light,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.004,-0.017,4.786
world\expansion01\doodads\theexodar\passivedoodads\crystals\exodar_crystal_chandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,73.417,-15.837,39.649
world\expansion01\doodads\theexodar\passivedoodads\light_sconces\exodar_sconce,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.040,0.002,0.635
world\expansion01\doodads\theexodar\passivedoodads\light_sconces\exodar_sconce_blue,torch,0.400,0.600,1.000,1.00,2.00,8.00,-0.026,0.003,0.389
world\expansion01\doodads\theexodar\passivedoodads\light_sconces\exodar_sconce_magenta,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.027,0.001,0.464
